"l_test","t_test","t_test_int","total"
32,25,30,65
31,27,27,60
31,30,28,66
28,22,24,65
32,29,29,66
30,26,28,65
32,30,28,65
26,21,20,105
28,21,20,105
39,31,31,105
36,33,33,104
28,23,22,105
31,31,33,91
42,35,39,110
33,29,31,111
33,32,29,111
