"l","t"
2.45720441460897,2.76498972073278
3.15790765093545,3.27173920579476
2.38627983116797,2.66985486589923
2.43488895348037,2.52265820645466
2.67412571615227,2.79414777654673
2.51803603155591,2.63949424013685
2.83803808203913,3.11834206749613
3.90395126642999,4.64916480708145
2.86712022376729,3.41027248945913
6.55369530811573,7.78579002604148
2.06147379437014,2.4669724857902
1.83286340255971,2.18273319665708
2.38638910718123,2.84191976178411
4.0001710347994,4.68407124397479
4.62575448053438,5.15779518358561
5.48466992259602,6.53956811573765
2.84276937624612,3.23976542518467
3.71957752972294,4.2538599030122
2.87976237133404,3.13606122238277
2.97416132357093,3.46608265544811
3.14711350895862,3.26746393022283
2.62245533633471,3.00616195923
3.34252188202522,3.64405527983639
3.0211885950967,3.57185397111493
2.21200023787937,2.63424232459972
5.0316527674074,5.98485786084465
1.55330154530474,1.84532223582203
1.40788799159815,1.67663550493967
2.95533426156249,3.51519794873471
5.12224018363859,6.09260631551479
5.30639447200535,6.33471038003952
6.79610135614723,8.05424297359117
2.65989677706751,3.03842054918865
3.22144907405437,3.16366957663396
3.79551049276319,4.43382578540787
4.1890761777325,4.9826620895578
3.90034548468066,4.5946257326148
3.66785263421517,4.35740892944763
5.47537658111243,5.12062651445447
3.42384548473213,3.74939772020778
2.38839398832403,2.73785374029986
5.31593683937431,6.27728879068767
1.65598746695305,1.97209394454518
1.63413606824708,1.76001841811975
3.19002324495982,3.78515954283912
5.71103420831757,6.79294250918938
5.91133861497145,7.03973630198483
7.48559525491854,8.91449806724868
3.05976980905754,3.25965259767098
2.65133823819582,3.06074983186776
3.20892751282252,2.98393724413411
3.47867933210932,3.49329263668068
3.02823660789096,3.11434910744379
2.74988205187083,2.95198181712881
3.20604287700877,3.46443508683163
4.16792859869395,4.05256628926581
2.48459114104721,2.96246688240921
5.72685366513519,6.78704870277992
1.76613949601423,2.10072004859654
1.60163281956521,1.90273978964347
4.35098229430412,3.90155329061982
4.56068681910659,5.01675550101725
4.5640529290589,5.43527129498254
5.90774569362078,6.90128909930599
2.49484615894229,2.82029840874202
3.64122011926595,3.87487496079539
3.54505551384563,3.19936363639052
2.62884982863893,3.09308009249582
3.69435384855617,3.32797445493557
3.42255794539063,3.18258922417206
3.71343122871675,3.71002441107572
2.65379270908964,3.14508129888605
1.96295062429798,2.32916211486011
4.43198502340038,5.26519820779965
1.52731135903575,1.66694639531284
1.24568647448279,1.4762966307625
4.05773049293167,3.98096261874107
5.08425024700203,6.04741949889161
5.36454135372834,6.38856255259921
7.00728667931302,8.13725316871409
